Название,Артикул,Категория,Цена без карты,Цена с картой
Конёк плоский RAL8017 шоколадный 2000мм,12725501,"Главная,Каталог,Строительные материалы,Кровля,Металлочерепица",506.00 ₽,455.40 ₽
Планка примыкания нижняя К-502 оцинкованная 2000мм,12731701,"Главная,Каталог,Строительные материалы,Кровля,Металлочерепица",388.00 ₽,368.60 ₽
Планка примыкания нижняя К-502 RAL3005 красная 2000мм,12731801,"Главная,Каталог,Строительные материалы,Кровля,Металлочерепица",754.00 ₽,716.30 ₽
Конёк плоский оцинкованный 2000мм,12725601,"Главная,Каталог,Строительные материалы,Кровля,Металлочерепица",392.00 ₽,352.80 ₽
Планка примыкания нижняя К-502 RAL8017 шоколадная 2000мм,12732101,"Главная,Каталог,Строительные материалы,Кровля,Металлочерепица",769.00 ₽,730.55 ₽
Планка примыкания верхняя К-501 RAL6005 зелёный 2000мм,12732401,"Главная,Каталог,Строительные материалы,Кровля,Металлочерепица",498.00 ₽,473.10 ₽
Планка примыкания нижняя К-502 RAL6005 зелёная 2000мм,12732001,"Главная,Каталог,Строительные материалы,Кровля,Металлочерепица",754.00 ₽,716.30 ₽
Планка примыкания верхняя К-501 RAL8017 шоколадная 2000мм,12732501,"Главная,Каталог,Строительные материалы,Кровля,Металлочерепица",498.00 ₽,473.10 ₽
Планка примыкания верхняя К-501 RAL3005 красная 2000мм,12732201,"Главная,Каталог,Строительные материалы,Кровля,Металлочерепица",482.00 ₽,457.90 ₽
"Шифер 8-волновой серый 1750x1130x5,2мм",8320801,"Главная,Каталог,Строительные материалы,Кровля,Мягкая черепица",385.56 ₽,366.28 ₽
Гибкая черепица ТЕХНОНИКОЛЬ Оптима коричневый,23044501,"Главная,Каталог,Строительные материалы,Кровля,Мягкая черепица",780.04 ₽,741.04 ₽
Гибкая черепица ТЕХНОНИКОЛЬ Комфорт Сальса Жимолость,22273801,"Главная,Каталог,Строительные материалы,Кровля,Мягкая черепица",1 549.00 ₽,1 471.55 ₽
Гибкая черепица ТЕХНОНИКОЛЬ Shinglas Кантри Алабама,22273901,"Главная,Каталог,Строительные материалы,Кровля,Мягкая черепица",1 899.00 ₽,1 804.05 ₽
Коньково-карнизная черепица ТЕХНОНИКОЛЬ Shinglas Коричневый микс,13662201,"Главная,Каталог,Строительные материалы,Кровля,Мягкая черепица",1 732.98 ₽,1 646.33 ₽
Коньково-карнизная черепица ТЕХНОНИКОЛЬ Shinglas Красный микс,13662901,"Главная,Каталог,Строительные материалы,Кровля,Мягкая черепица",1 732.98 ₽,1 646.33 ₽
Коньково-карнизная черепица ТЕХНОНИКОЛЬ Shinglas Зелёный микс,13661301,"Главная,Каталог,Строительные материалы,Кровля,Мягкая черепица",1 732.98 ₽,1 646.33 ₽
Гибкая черепица ТЕХНОНИКОЛЬ Shinglas Фазенда зелёная,22274001,"Главная,Каталог,Строительные материалы,Кровля,Мягкая черепица",1 049.00 ₽,996.55 ₽
Коньково-карнизная черепица ТЕХНОНИКОЛЬ Shinglas Светло-коричневая,16408201,"Главная,Каталог,Строительные материалы,Кровля,Мягкая черепица",2 849.00 ₽,2 706.55 ₽
Ендовый ковер ТЕХНОНИКОЛЬ Shinglas Светло-коричневый,16409901,"Главная,Каталог,Строительные материалы,Кровля,Мягкая черепица",4 899.00 ₽,4 654.05 ₽
Ендовый ковер ТЕХНОНИКОЛЬ Shinglas Серый камень,16410001,"Главная,Каталог,Строительные материалы,Кровля,Мягкая черепица",4 899.00 ₽,4 654.05 ₽
Ендовый ковер ТЕХНОНИКОЛЬ Shinglas Красный коралл,19191401,"Главная,Каталог,Строительные материалы,Кровля,Мягкая черепица",5 699.00 ₽,5 414.05 ₽
Гибкая черепица ТЕХНОНИКОЛЬ Румба арахис,19194101,"Главная,Каталог,Строительные материалы,Кровля,Мягкая черепица",1 899.00 ₽,1 804.05 ₽
Ендовый ковер ТЕХНОНИКОЛЬ Shinglas Зеленый,19191301,"Главная,Каталог,Строительные материалы,Кровля,Мягкая черепица",5 699.00 ₽,5 414.05 ₽
Гибкая черепица ТЕХНОНИКОЛЬ Финская Аккорд зеленая,19194401,"Главная,Каталог,Строительные материалы,Кровля,Мягкая черепица",1 249.00 ₽,1 186.55 ₽
Ендовый ковер ТЕХНОНИКОЛЬ Shinglas Кирпичный,16409701,"Главная,Каталог,Строительные материалы,Кровля,Мягкая черепица",4 899.00 ₽,4 654.05 ₽
Гибкая черепица ТЕХНОНИКОЛЬ Финская Аккорд серая,19194601,"Главная,Каталог,Строительные материалы,Кровля,Мягкая черепица",1 249.00 ₽,1 186.55 ₽
Гибкая черепица ТЕХНОНИКОЛЬ Shinglas Финская Соната серая,19194701,"Главная,Каталог,Строительные материалы,Кровля,Мягкая черепица",1 249.00 ₽,1 186.55 ₽
Коньково-карнизная черепица DOCKE Pie Simple коричневая,19871401,"Главная,Каталог,Строительные материалы,Кровля,Мягкая черепица",4 278.01 ₽,4 064.11 ₽
Гибкая черепица DOCKE Pie Basic Лабиринт Коричневая,22028601,"Главная,Каталог,Строительные материалы,Кровля,Мягкая черепица",885.00 ₽,840.75 ₽
Гибкая черепица DOCKE Pie Basic Лабиринт Серая,22028801,"Главная,Каталог,Строительные материалы,Кровля,Мягкая черепица",885.00 ₽,840.75 ₽
Гибкая черепица DOCKE Pie Basic Шестигранник Зелёная,22028901,"Главная,Каталог,Строительные материалы,Кровля,Мягкая черепица",885.00 ₽,840.75 ₽
Гибкая черепица DOCKE Pie Basic Лабиринт Красная,22028701,"Главная,Каталог,Строительные материалы,Кровля,Мягкая черепица",885.00 ₽,840.75 ₽
